Index,Allocated Space,Used Space,Total Days of records,Total records,Average records per day ,Average size per record ,Average Size per day ,Estimation for: 1 day   ,Estimation for: 7 days  ,Estimation for: 14 days ,Estimation for: 30 days ,Estimation for: 90 days ,Estimation for: 180 days,Estimation for: 1 year  
Interface,20,14.2437GB,13,13,4886746,235 Bytes,1.10 GB,1.10 GB,7.67 GB,15.34 GB,32.87 GB,98.61 GB,197.22 GB,399.92 GB
EIO,5,0.9184GB,607,607,11337,139 Bytes,1.55 MB,1.55 MB,10.84 MB,21.69 MB,46.48 MB,139.43 MB,278.87 MB,565.48 MB
QoS,5,4.9883GB,11,11,2198826,216 Bytes,464.36 MB,464.36 MB,3.17 GB,6.35 GB,13.60 GB,40.81 GB,81.63 GB,165.52 GB
Device System Status,20,18.6335GB,15,15,3120329,417 Bytes,1.24 GB,1.24 GB,8.70 GB,17.39 GB,37.27 GB,111.80 GB,223.60 GB,453.42 GB
SAIE,20,1.5309GB,94,94,59513,286 Bytes,16.68 MB,16.68 MB,116.74 MB,233.48 MB,500.32 MB,1.47 GB,2.93 GB,5.94 GB
Approute,20,19.5151GB,1,1,74473361,274 Bytes,19.52 GB,19.52 GB,136.61 GB,273.21 GB,585.45 GB,1.72 TB,3.43 TB,6.96 TB
Device Events,20,19.4958GB,12,12,4059177,419 Bytes,1.62 GB,1.62 GB,11.37 GB,22.75 GB,48.74 GB,146.22 GB,292.44 GB,593.00 GB
Alarm,5,4.9211GB,51,51,181829,556 Bytes,98.81 MB,98.81 MB,691.65 MB,1.35 GB,2.89 GB,8.68 GB,17.37 GB,35.22 GB
Audit Log,5,0.2757GB,381,381,2617,289 Bytes,758.83 KB,758.83 KB,5.19 MB,10.37 MB,22.23 MB,66.69 MB,133.39 MB,270.48 MB
Device Configuration,5,1.9056GB,444,444,47,93.96 KB,4.39 MB,4.39 MB,30.76 MB,61.53 MB,131.85 MB,395.54 MB,791.09 MB,1.57 GB
Aggregated SAIE,5,4.7279GB,1,1,23817815,208 Bytes,4.73 GB,4.73 GB,33.10 GB,66.19 GB,141.84 GB,425.52 GB,851.03 GB,1.69 TB
Network-wide Packet Insight,5,3.2307GB,47,47,103512,696 Bytes,70.39 MB,70.39 MB,492.71 MB,985.42 MB,2.06 GB,6.19 GB,12.37 GB,25.09 GB
Tracker Statistics,5,3.8138GB,224,224,169640,105 Bytes,17.43 MB,17.43 MB,122.04 MB,244.08 MB,523.03 MB,1.53 GB,3.06 GB,6.21 GB
Speed Test,5,0.0009GB,288,288,18,183 Bytes,3.36 KB,3.36 KB,23.51 KB,47.02 KB,100.75 KB,302.25 KB,604.50 KB,1.20 MB
